Date,Account,Vendor,Memo,Amount,Type
2026-05-07,Cost of Goods Sold:Materials,PIEDMONT FINISH/STAIN,  Piedmont Finishes & Stain - Bill INV-1031  ,644.32,Bill
01-May-26,Operating Expenses:Supplies,Guilford Packaging,  Guilford Packaging Solutions - Bill INV-1032  ,728.34,Bill
2026-05-05,Operating Expenses:Equipment Maintenance,Triad Equip Svc,  Triad Equipment Service - Bill  ,1869.19,Bill
2026-05-02,Operating Expenses:Insurance,Summit Business Insurance,  Summit Business Insurance - Bill INV-1034  ,410.0,Bill
06/06/2026,Cost of Goods Sold:Materials,Coastal Hardwood Supply,  Coastal Hardwood Supply - Bill INV-1035  ,5678.23,Bill
22-Jun-26,Cost of Goods Sold:Materials,Blue Ridge Hardware,  Blue Ridge Hardware Co. - Bill INV-1036  ,593.49,Bill
10-Jun-26,Cost of Goods Sold:Materials,PIEDMONT FINISH/STAIN,  Piedmont Finishes & Stain - Bill INV-1037  ,667.51,Bill
12-Jun-26,Operating Expenses:Supplies,Guilford Packaging,  Guilford Packaging Solutions - Bill INV-1038  ,659.64,Bill
09-Jun-26,Cost of Goods Sold:Freight,Apex Freight and Shipping,  Apex Freight & Shipping - Bill INV-1039  ,418.02,Bill
04-Jun-26,Operating Expenses:Utilities,KERNERSVILLE UTIL,  Kernersville Utilities - Bill  ,613.87,Bill
2026-06-24,Operating Expenses:Equipment Maintenance,Triad Equip Svc,  Triad Equipment Service - Bill INV-1041  ,928.44,Bill
10-Jun-26,Operating Expenses:Insurance,Summit Business Insurance,  Summit Business Insurance - Bill INV-1042  ,410.0,Bill
